num_of_day,title_of_itin,num_of_view,num_of_reply,places
16,台湾环岛,澳门·桃园市·台中市·中国·彰化县·鹿港·南投县·嘉义·台南·垦丁·高雄市·花莲县·台东县·台北·九份·平溪·新北市,0,158
7,我的中国七日游线路,广州·台北·台中市·南投,0,45
8,台湾游,香港·台湾·台北·高雄市·垦丁·淡水·九份·平溪·屏东县,4,69
10,台湾8天游~,北京·台北·桃园市·高雄市·垦丁·屏东县·恒春·花莲县·阳明山·淡水·香港,4,94
8,台湾,香港·台北·鹿港·云林县·嘉义·台南·高雄市·中国,0,73
9,台湾游,上海·高雄市·垦丁·琉球屿·台中市·南投县·台北·九份·淡水,2,59
8,我的中国八日游线路,长沙·台北·九份·花莲县·兰屿·垦丁,0,29
11,台湾最佳参考行程,中国广州·台湾·台北·九份·平溪·花莲县·垦丁·高雄市·北投·广州,0,44
10,台湾10日行,上海·高雄市·垦丁·花莲县·台北,1,80
15,Zoe的台湾一十五日沿海环岛,上海·台北·台中市·南投县·高雄市·垦丁·台东县·花莲县·新北市·九份·平溪,1,87
7,备选台湾5-7,上海·高雄市·垦丁·台北·平溪,1,97
7,我的中国七日游线路,北京·台北·宜兰县·花莲县·垦丁,1,35
6,橘子味超人b的中国行程,广州·高雄市·垦丁·台北,0,25
12,吴小雄masha的中国行程,台北·彰化县·南投县·台南市·高雄市·垦丁·花莲县,0,235
6,yanglingty的中国行程,台北·新北市,2,464
15,深圳台湾自由行的行程,中国·台北·淡水·九份·平溪·花莲县·南投县·台东县·垦丁·高雄市·嘉义·台中市,0,53
25,豆芽粉丝的马来西亚柬埔寨越南香港台湾行程,广州·暹粒·金边·亚庇·斗湖·仙本那·胡志明市·美奈·台北·香港,0,30
8,gccoffee的中国行程,台北·台中市·南投县·新北市·九份·北投·杭州,0,249
7,妮Q的中国行程,上海·台北·台中市·台南·高雄市·垦丁·花莲,0,6
8,水滴石穿fresh的中国行程,台北·台南市·台中市,0,544
11,joy84914的中国行程,台北·新北市·花莲县·垦丁国家公园·屏东县·南投县,0,272
8,小小小蔡在路上的中国行程,台北·台中市·基隆市·花莲县·垦丁国家公园·高雄市·香港,0,283
10,LULUXU的中国行程,高雄市·垦丁·垦丁国家公园·花莲县·屏东县·九份·台北·平溪·新北市·淡水,0,309
12,我的中国行程,北京·台北·嘉义·瑞芳·九份·花莲县·垦丁·台南市,0,309
8,大叶叶嗨的中国行程,武汉·台北·九份·花莲·台东·垦丁,0,12
9,elainty的中国行程,杭州·台北·新北市·花莲县·垦丁国家公园·高雄市,0,433
10,火车开了的中国行程,台北,0,336
8,lunamingchi的中国行程,香港·台北·花莲县,0,359
13,吾儿名叫黄小宝的中国行程,上海·台北·新北市·垦丁国家公园·高雄市,0,291
11,Leicaer的中国行程,台北·基隆市·宜兰县·台中市·花莲县·台南市·台东县·高雄市·垦丁国家公园,1,629
10,快乐农夫的中国行程,台北·新北市·花莲县·垦丁国家公园·屏东县·基隆市,1,350
13,日光的中国行程,台北·台中市·高雄市·垦丁·花莲县·新北市,1,355
15,lolikong的中国行程,台北·九份·新北市·平溪·花莲县·垦丁·恒春·高雄市·台南市·嘉义·彰化县·南投县,1,622
15,yayaly的中国行程,台北·花莲县·天祥·大禹岭·清境农场·台中高美湿地·台中市·鹿港·布袋渔港·七股盐山·台南市·嘉义·高雄市·垦丁恒春·垦丁·兰屿·台东县·瑞穗温泉·南澳·宜兰县·淡水,1,350
11,小灰尘的中国行程,台北·新北市·野柳·九份·台东县·绿岛·花莲县·清境·台中市,0,250
18,我的中国行程,基隆市·台北·桃园县·新竹·苗栗县·台中市·南投县·彰化县·云林县·嘉义·台南市·高雄市·屏东县·垦丁国家公园·台东县·花莲县·苏澳·宜兰县·新北市,0,395
10,潇潇dhona的中国行程,台北·新北市·花莲县·垦丁国家公园·高雄市·台中市,0,266
10,tang1471的中国行程,台北·新北市·台中市·高雄市·垦丁国家公园·屏东县·花莲县·基隆市,0,351
8,丢丢MM长大了的中国行程,台北·花莲县·垦丁国家公园·屏东县·高雄市,0,252
9,陈对对的中国行程,高雄市·琉球屿·台南市·台中市·南投县·台北,0,381
8,林乐乐的中国行程,高雄市·台南市·台北·台中市,0,258
14,林德西的中国行程,台北·新北市·宜兰县·花莲县·垦丁国家公园·高雄市·台中市·南投县·彰化县·上海,0,318
10,台湾行－2,中国·台北·九份·平溪·花莲县·垦丁·恒春·高雄市·台中市·南投县·淡水·成都,0,41
8,参考-台湾3,广州·台北·桃园市·高雄市·垦丁·屏东县·恒春·花莲县·阳明山·淡水,0,71
8,广州出发台湾,广州·台北·桃园市·高雄市·垦丁·屏东县·恒春·花莲县·阳明山·淡水,0,134
8,参考行程-台湾,中国·台北·垦丁·淡水·北京,0,34
7,参考行程，台湾,中国·台北·花莲县·垦丁·高雄市·台中市,0,125
7,台湾,中国·台北·花莲县·垦丁·高雄市·台中市,0,30
12,台湾参考行程,上海·台北·高雄市·垦丁·花莲,0,7
10,趴趴闪电的中国行程,北京·台中市·澎湖·嘉义·南投·淡水·台北,0,8
7,shery007的中国行程,福州·高雄市·垦丁·台北,0,3
9,台湾 参考行程,上海·台北·高雄市·垦丁·屏东县·恒春·花莲·花莲县·阳明山·淡水,0,5
13,13708983141的新加坡台湾中国行程,青岛·台北·平溪·高雄市·垦丁·新加坡·九份·花莲,0,3
9,台湾,中国·台湾·台北·花莲县·九份,0,41
7,台湾6,中国·台北·花莲县·垦丁·高雄市·台中市,0,153
7,台湾7日,中国·台北·花莲县·垦丁·高雄市·台中市,0,182
7,台湾,中国·台北·花莲县·垦丁·高雄市·台中市,0,102
8,酵ing的中国行程,上海·香港·台北·平溪线·中坜·高雄市·垦丁国家公园·垦丁,0,292
6,酥糖流蜜的中国行程,台北·花莲县·台中市·宜兰县,0,361
12,毛家大毛的中国行程,台北·新竹·苗栗县·台中市·嘉义·台南市·台东县·绿岛,0,488
8,记忆散落了的中国行程,台北·花莲县·垦丁国家公园·台南市·台中市,0,228
8,小彬Zt3的中国行程,台北·新北市·花莲县·南投县·香港·宜兰县,0,320
8,小锅junjun的中国行程,高雄市·台南市·台北·台中市,0,242
9,考拉嘟嘟小辛的中国行程,台北·垦丁,0,319
15,客官你在看什么的中国行程,台北·台中市·台南市·高雄市·花莲县·宜兰县,1,430
10,Allen30059的中国行程,台北·普吉岛·皮皮岛·曼谷,0,376
6,icy刘月媚的中国行程,台北·九份·宜兰县·花莲县,1,335
9,45度角i的中国行程,昆明·台北·宜兰·花莲·垦丁·恒春·桃园,0,25
8,amott的中国行程,台北·台中市·台南市·高雄市·垦丁国家公园·基隆市·嘉义·宜兰县,0,452
11,shiboyi的中国行程,上海·香港·台北·新北市·台中市·嘉义·生日·基隆市,0,655
10,我的中国行程,台北·新北市·高雄市·台南市·垦丁国家公园,0,291
10,MonarchH的中国行程,台北·台中市·南投县·花莲县·嘉义·台南市·高雄市·垦丁,0,246
8,台湾,中国·台中市·南投县·高雄市·垦丁·花莲县·台北,0,37
40,中国蒙男的印度四十日游线路,北京·德里·阿格拉·斋普尔·瓦拉纳西·焦特布尔·乌代布尔·加尔各答·孟买·杰伊瑟尔梅尔·克久拉霍·阿姆利则·菩提伽耶·热那克普·果阿·班加罗尔·大吉岭,0,190
9,暑假台湾,深圳·台北·马祖·基隆市,0,76
10,小夹饼的台湾之行,北京·澳门·高雄市·台北·桃园·香港,0,3
7,我的中国七日游线路,北京·台北·台中市·南投县,0,25
7,台湾行,中国·台北·花莲县·垦丁·台中市,0,45
8,我的中国中国八日游线路,北京·台北·九份·花莲县,0,92
8,台湾8日游,中国·台北·垦丁·兰屿·花莲县,0,27
7,我的中国七日游线路,昆明·台北·九份·花莲县,0,149
9,Paulette18的中国行程,广州·高雄市·垦丁·花莲·台北,0,30
7,尼罗河等极光的中国行程,北京·高雄市·垦丁·台北,0,36
9,9527加一的中国行程,青岛·高雄市·垦丁·花莲·台北,0,11
25,豆芽粉丝的香港台湾马来西亚柬埔寨越南行程,广州·暹粒·金边·亚庇·斗湖·仙本那·胡志明市·美奈·台北·花莲·垦丁·香港,0,28
25,豆芽粉丝的马来西亚柬埔寨越南香港台湾行程,广州·暹粒·金边·亚庇·斗湖·仙本那·胡志明市·美奈·台北·香港,0,29
31,Easonchua的香港台湾马来西亚泰国行程,昆明·曼谷·清迈·亚庇·沙巴·台北·九份·花莲·垦丁·香港·三亚,0,12
9,海倫公主的中国行程,丽江·高雄市·垦丁·花莲·台北,0,5
10,2018年春节13人台湾,台北·南投·台中市·垦丁·恒春·花莲·九份,0,40
7,台湾我来啦,杭州中国·台湾·台北·台中市·南投县·九份·花莲县·杭州,0,5
15,台湾攻略,中国·台北·淡水·九份·平溪·花莲县·南投县·台东县·垦丁·高雄市·嘉义·台中市,0,3
7,台湾参考2,杭州中国·台湾·台北·台中市·南投县·九份·花莲县·杭州,0,0
8,午心红旗的台湾八日游线路,旧金山湾区·高雄市·垦丁·台北,0,44
6,橘子味超人b的中国行程,广州·高雄市·垦丁·台北,0,25
10,4年后的台湾,澳门·台中市·南投·台北·宜兰·平溪,0,0
25,豆芽粉丝的马来西亚柬埔寨越南香港台湾行程,广州·暹粒·金边·亚庇·斗湖·仙本那·胡志明市·美奈·台北·香港,0,30
7,妮Q的中国行程,上海·台北·台中市·台南·高雄市·垦丁·花莲,0,6
6,台湾1,中国·台北·淡水·九份·花莲县·垦丁·高雄市,0,18
8,大叶叶嗨的中国行程,武汉·台北·九份·花莲·台东·垦丁,0,12
10,台湾参考行程,上海·台北·嘉义·垦丁·恒春·台东县·花莲县·花莲·淡水,0,4
7,台湾8日,杭州中国·台湾·台北·台中市·南投县·九份·花莲县·杭州,0,4
10,2014.11月台湾10日,上海·高雄市·垦丁·枋寮·台东县·花莲·花莲县·太鲁阁国家公园·台北·新北市,0,4
8,2015春节游台湾,台北·香港·瑞芳·菁桐·平溪·十分·九份·花莲县·台湾·中国,0,230
7,KannJi的中国行程,泉州·台北·台中市·南投,0,16
7,我的中国七日游线路,长沙·台北·嘉义·垦丁·南投县,1,122
7,snakex的中国行程,台北·台中市·嘉义·高雄市·垦丁,0,242
7,我的中国七日游线路,上海·台北·嘉义·垦丁·南投县,0,66
10,4年后的台湾,澳门·台中市·南投·台北·宜兰·平溪,0,0
12,恨情歌的中国行程,台北·花莲县·垦丁·高雄市·嘉义·彰化县,0,232
13,原住民风&文艺风&森林秘境台湾行,上海·台北·新竹·南庄乡·苗栗·台南·高雄市·鱼池乡·南投·太鲁阁国家公园·花莲·瑞穗乡·丰滨乡·淡水,0,11
12,baggioustb的中国行程,台北·台中市·南投县·嘉义·台南市·高雄市·垦丁国家公园·台东县·花莲县·基隆市,0,377
11,海伦的影子的中国行程,香港·台北·平溪·台中市·高雄市·垦丁,0,343
9,我的中国九日游线路,上海·台北·九份·花莲县·台湾,0,47
7,我的中国七日游线路,广州·台中市·台北·淡水·屏东县·垦丁,0,48
6,mcao1516的中国行程,重庆·香港·台北·高雄市·垦丁国家公园·垦丁·九份,0,318
6,伍庆霞的中国行程,成都·高雄市·垦丁·台北,0,10
4,celinekonyy的台湾行程,高雄市·台北·台中市,0,141
8,WendyGuo1101的台湾八日游线路,香港中国·台北·台湾·花莲县·淡水·香港,0,89
10,2014-2015台湾跨年行程,中国·台北·台中市·南投县·清境农场·高雄·垦丁,0,334
7,Vivo2013的中国行程,台北·九份·花莲县,9,546
5,keenken的中国行程,高雄市·垦丁·台北,7,1076
10,monicat的台湾马来西亚行程,上海·台北·吉隆坡·亚庇,0,74
8,我的中国八日游线路,上海·台北·南投县·花莲县·平溪,0,124
8,我的中国八日游线路,上海·台北·南投县·花莲县·平溪,0,86
7,我的中国七日游线路,台北·九份·花莲县·上海,1,130
10,WinG瑶的中国行程,台北·台中市·彰化县·南投县·台南市·花莲县·九份·新北市·台东县,1,363
27,martinique的中国行程,香港·台北·新北市·九份·平溪·宜兰县·花莲县·台东县·绿岛·垦丁·恒春·高雄市·台南市·嘉义·南投县·彰化县·台中市·苗栗县,1,407
9,金秀贞的台湾行程,温州·台湾·台北·新北市·南投县·垦丁,0,93
7,我的中国七日游线路,济南·台北·九份·花莲县,0,88
10,豆儿宝宝的中国行程,台北·台中市·高雄市·屏东县·花莲县·台东县·宜兰县·新北市·基隆市,0,269
14,waitingsxy的中国行程,台中市·南投县·嘉义·台南市·高雄市·垦丁国家公园·屏东县·花莲县·苏澳·宜兰县·新北市·台北,0,364
8,可可心水Dayo的中国行程,台北·基隆市·新北市·桃园县·新竹·宜兰县,0,249
8,台湾,上海·台北·宜兰县·花莲县·南投县·太鲁阁国家公园·新竹,0,16
14,台湾14天,广州·台北·九份·花莲县·垦丁·恒春·高雄市·台南·台中市,0,10
14,台湾14天,广州·台北·九份·花莲县·垦丁·恒春·高雄市·台南·台中市,0,14
7,zhudan123的中国行程,深圳·高雄市·台中市·澎湖·台北·金门,0,37
7,我的中国七日游线路,临沂·台中市·台北·淡水·屏东县·垦丁,0,68
7,ck陈的中国行程,北京·台北·台中市·台南·高雄市·垦丁·花莲,0,18
8,台湾1,广州·台北·桃园市·高雄市·垦丁·屏东县·恒春·花莲县·阳明山·淡水,0,48
9,台湾,上海·高雄市·垦丁·花莲县·太鲁阁国家公园·台北,0,49
7,台湾1,中国·台北·花莲县·垦丁·高雄市·台中市,0,64
7,台湾7日游,北京·台北·花莲县·垦丁·高雄市·中国,0,68
10,台湾5月天,天津·香港·台北·高雄市·垦丁·恒春·台东县·花莲县·新北市,0,44
15,台湾1,中国·台北·淡水·九份·平溪·花莲县·南投县·台东县·垦丁·高雄市·嘉义·台中市,0,70
8,台湾,广州·台北·桃园市·高雄市·垦丁·屏东县·恒春·花莲县·阳明山·淡水,0,56
8,台湾之旅,广州·台北·桃园市·高雄市·垦丁·屏东县·恒春·花莲县·阳明山·淡水,0,51
8,台湾之旅,广州·台北·桃园市·高雄市·垦丁·屏东县·恒春·花莲县·阳明山·淡水,0,45
8,上了发条的柚子的中国行程,台北·台中市·高雄市·垦丁·花莲县·淡水,0,246
8,蜗居中的牛的中国行程,台北·台中市·台南市·垦丁·台东县·花莲县·宜兰县,0,209
7,zhudan123的中国行程,深圳·高雄市·台中市·澎湖·台北·金门,0,37
9,我的中国行程,高雄市·垦丁·台中市·台北,0,305
8,爱陳誠的吴生的中国行程,台北·台中市·花莲县·高雄市·垦丁,0,233
7,我的中国七日游线路,临沂·台中市·台北·淡水·屏东县·垦丁,0,68
13,tjjianguo的中国行程,台北·垦丁·花莲县·高雄市·台中市·台南市·台东县·新北市·新竹,0,288
8,小嗲麥豬的台湾行程,上海·九份·新北市·平溪·台中市·花莲县·台北,0,210
7,Francinehu的中国行程,北京·台北·花莲县·苏澳,0,310
7,lengholic的中国行程,台北·高雄市·垦丁·花莲县,0,327
11,zhangsonglin083的中国行程,台北·花莲县,0,393
9,淡淡茶香p的中国行程,台北·新竹·台中市·嘉义·台南市·高雄市·北京,0,334
8,zoocoffee的中国行程,台北·花莲县·垦丁国家公园·高雄市,0,318
16,养猫的狗主人的中国行程,台北·基隆市·新北市·宜兰县·苏澳·花莲县,0,283
8,juliaywd的中国行程,台北·宜兰县·花莲县·台东县·高雄市·嘉义,0,217
6,2017台湾行,香港·台北·嘉义·台中市·高雄市·中国,0,46
8,Ellen-han的台湾八日游线路,上海·台湾,0,110
7,我的中国七日游线路,敦煌·台北·九份·花莲县,0,60
13,Hed9eho9的台湾六日游线路,澳门·台湾·中国,0,23
7,我的中国七日游线路,日照·台北·台中市·南投县,0,49
7,我的中国七日游线路,南昌·台北·嘉义·垦丁·南投县,0,35
12,台湾-参考,北京·桃园市·台中市·南投县·清境·台北·宜兰县·花莲县·太鲁阁国家公园·九份·新北市·平溪,0,109
7,儿子毕业之旅——台湾,中国·台北·高雄市·垦丁·花莲,0,6
5,台湾6日,平潭·台北·中国,0,6
6,20160425台湾游,中国·台北·淡水·九份·花莲县·垦丁·高雄市,0,49
10,台湾行程,中国·高雄市·垦丁·台南·花莲县·九份·台北,0,33
10,Hed9eho9的台湾十一日游线路,台湾·花莲县·台中市·台北·中国,0,20
6,一个有梦地方的台湾六日游线路,青岛·台湾·南投县·中国,0,39
6,城里有一只安妮的台湾六日游线路,广州·台湾·中国,0,25
10,猪猪响叮当的台湾十日游线路,中国·台湾·台北·垦丁·花莲县·九份,0,32
3,2016 台湾行,台中市·台北·桃园市,1,158
7,我的中国七日游线路,敦煌·台北·九份·花莲县,0,60
7,savagexy的中国行程,香港·台中市·台南市·高雄市·嘉义·南投县·鹿港,0,265
16,minamisong的中国行程,台北·花莲县·台南市·宜兰县·基隆市·桃园县·绿岛·澎湖县·高雄市·垦丁,0,492
8,我的中国行程,台北·高雄市·花莲县·南投县·宜兰县·垦丁,0,191
7,我的中国七日游线路,日照·台北·台中市·南投县,0,49
11,台湾14天自由行,中国郑州·台北·基隆市·高雄市,0,270
7,我的中国七日游线路,南昌·台北·嘉义·垦丁·南投县,0,35
5,JzzZ2zzz的中国行程,高雄市·垦丁·台北,0,456
7,annavia2012的中国行程,垦丁国家公园·台北·香港,0,253
6,denver2325的中国行程,台北·九份,0,306
5,MrQ的中国行程,香港·台北·新北市,0,214
7,儿子毕业之旅——台湾,中国·台北·高雄市·垦丁·花莲,0,6
5,我的中国行程,武汉·高雄市·垦丁·花莲县·台北,0,79
16,我的中国行程,台北·新竹·彰化县·台南市·屏东县·垦丁国家公园·台东县·花莲县·宜兰县·新北市,0,282
6,Gavin鵬鵬的中国行程,香港·台北,0,259
5,whkfc的中国行程,上海·台北·淡水·平溪·九份,2,328
3,小螃蟹爱旅游的中国行程,台北,3,426
15,MiSsChEeRiPleY的中国行程,桃园县·台中市·南投县·台南市·高雄市·垦丁国家公园·花莲县·台北,0,403
14,曾怎怎的中国行程,香港·台北·垦丁·花莲县·高雄市·新北市·南投县·新竹·淡水·嘉义·太鲁阁国家公园,0,313
4,台湾台湾,中国·台北,0,255
4,的中国行程,台北·北京,0,192
8,Shelly丁丁的中国行程,澳门·台北·宜兰县·南投县·苗栗县·台中市·高雄市,0,358
9,nemotm的中国行程,台北·基隆市·新北市·宜兰县·新竹·彰化县·高雄市,1,422
5,央羊养样羊羊的中国行程,台北·花莲县·垦丁·香港,1,443
7,lilian87的中国行程,台北·台中市·新竹,0,297
5,sel123的中国行程,台北·九份·台南市,0,280
7,一惊一叹的中国行程,台北·花莲县·台南市·高雄市·台中市,0,222
6,KristyNJ2013的中国行程,南京·台北,0,213
12,管小陆的中国行程,桃园县·台中市·南投县·嘉义·高雄市·恒春·垦丁·花莲县·太鲁阁国家公园·新北市·台北,0,198
9,春季台湾游,中国·台北·新北市·九份·花莲县·北京,0,120
8,台湾8天7晚,中国·台北·九份·花莲·花莲县·垦丁·高雄市·上海,0,12
10,小汗醨的台湾十日游线路,中国·台湾·高雄市·垦丁·花莲县·九份·十分·台北·台中市,0,140
7,台湾一周游,中国·台北·花莲县·垦丁·高雄市·台中市,0,1
11,拴拴redmuyou的台湾九日游线路,中国 上海·台湾·台北·淡水·九份·平溪·花莲县·垦丁·高雄市·澳门,0,157
6,安静底的中国行程,天津·台北·花莲·台湾,0,4
7,台湾7天,中国·台北·花莲县·垦丁·高雄市,0,4
5,Joseph一家的台湾行程,中国·台北·淡水·花莲县,0,73
6,syviaho的台湾游,中国·高雄市·台东县·花莲县·台中市,0,67
7,台湾七日游,高雄市·台中市·中国·台北·花莲县·垦丁,0,3
5,我的台湾澳门中国五日游线路,广州·珠海·澳门·高雄市·垦丁·花莲县·台北,0,104
4,charrrrleen的中国泰国台湾韩国行程,武汉·曼谷·台北·济州岛,0,22
3,我的台湾中国三日游线路,贵阳·台北,0,60
5,我的台湾泰国中国五日游线路,珠海·垦丁·曼谷,0,64
15,aks74ux的台湾十五日游线路,大阪·台北·台湾·中国,0,36
1,Chimnylin的台湾中国行程,厦门·台北,0,29
9,CCCC11111的台湾九日游线路,深圳·台北·台湾·九份·高雄市·台东县·淡水·中国,0,103
7,潘多拉的魔盒88的台湾七日游线路,台北·台湾·中国,0,25
8,台湾,中国·台北·九份·花莲县,0,49
11,user_eA8KKG4G的台湾十一日游线路,中国·台湾,0,26
8,jamesgai88的台湾八日游线路,中国成都·台湾,0,50
12,user_VuLfcYdd的台湾十二日游线路,桃园市·台中市·中国香港·台湾桃园·台南·高雄市·垦丁·台北·九份·台湾,0,54
10,猪猪响叮当的台湾十日游线路,中国·台湾·台北,0,51
2,台湾之旅,淡水·九份·平溪·台北·中国,0,77
7,布袋猪的台湾七日游线路,中国·台湾·台北·高雄市·花莲县,0,31
6,yvette_nana的台湾12日游线路,台北·九份·台湾·中国,0,59
10,玉璇想变强的台湾十日游线路,中国·台湾,0,77
15,傲娇的狗的台湾十五日游线路,中国·台北·台湾,0,82
9,reemei的台湾九日游线路,中国澳门·台湾,0,55
5,五一台湾游,中国·高雄市·垦丁·花莲县·太鲁阁国家公园·台北,0,61
9,jamesgai88的台湾八日游线路,中国·台湾·台北,0,21
5,letgo0727的台湾五日游线路,中国·台湾·台北·屏东县·垦丁,0,27
6,daffodil11的台湾六日游线路,北京·台北·台湾·中国,0,20
9,1176490330的台湾九日游线路,中国·台湾·台北,0,25
12,michellepiglet的台湾十二日游线路,中国·台湾,0,29
5,user_6IC9tD3Wxb的台湾五日游线路,中国北京·台湾·中国,0,22
13,翡翠咖喱鸡的台湾十三日游线路,中国·台湾,0,17
8,台湾亲子,中国·台北·花莲县·台东县·垦丁·高雄市,0,8
7,黑不垃圾的台湾-绿岛-花莲县八日游线路,中国·台湾·台北·花莲县·绿岛,0,70
14,evazhou2002的台湾-台北-台北-台中市-台中市等十四日游线路,中国·台湾·台北·台中市·花莲县,0,71
6,wildajj的台湾六日游线路,中国·台湾,0,36
9,evazhou2002的台湾九日游线路,中国·台湾,0,52
6,hemor的台湾六日游线路,中国·台湾,0,34
10,tb7325197_2013的台湾十日游线路,中国·台湾,0,22
6,高燕凌的台湾六日游线路,中国·台湾,0,25
12,Justin臺灣訂製行程,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,191
12,参考行程,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,8
14,参考行程,台北·花莲县·高雄市·垦丁·嘉义·台中市·彰化县·新北市,0,14
13,参考行程,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,8
12,参考行程,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,8
14,参考行程,台北·花莲县·高雄市·垦丁·嘉义·台中市·彰化县·新北市,0,18
12,12天冬日环岛,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,11
8,tai参考行程,上海·台北·花莲县·垦丁·高雄市,0,7
8,参考行程,上海·台北·花莲县·垦丁·高雄市,0,6
11,参考行程,台北·淡水·九份·花莲县·垦丁·垦丁国家公园·兰屿·台南市·台南,0,11
14,环岛14天,台北·花莲县·高雄市·垦丁·嘉义·台中市·彰化县·新北市,1,30
12,参考行程,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,18
14,国庆环岛14天,上海·台北·花莲县·垦丁·恒春·高雄市·嘉义·九份·台中市,0,24
12,参考行程12,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,27
14,参考行程,台北·花莲县·高雄市·垦丁·嘉义·台中市·彰化县·新北市,0,23
12,参考行程1,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,33
14,参考行程,台北·花莲县·高雄市·垦丁·嘉义·台中市·彰化县·新北市,0,31
12,a1参考行程,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,21
12,参考行程,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,20
9,台北,台北·瑞芳镇（九份）·瑞芳·花莲县·垦丁·高雄市·台中市·海口,0,43
12,顺时针,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,33
12,参考行程,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,32
12,Taiwan 12日,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,31
8,参考行程,上海·台北·花莲县·垦丁·高雄市,0,22
8,参考行程,上海·台北·花莲县·垦丁·高雄市,0,16
8,参考行程,上海·台北·花莲县·垦丁·高雄市,0,9
9,参考行程,台北·九份·花莲县·高雄市·台南市·台中市,0,24
11,参考行程,台北·淡水·九份·花莲县·垦丁·垦丁国家公园·兰屿·台南市·台南,0,34
11,参考行程,台北·淡水·九份·花莲县·垦丁·垦丁国家公园·兰屿·台南市·台南,0,42
11,顺势正环岛,台北·淡水·九份·花莲县·垦丁·垦丁国家公园·兰屿·台南市·台南,0,27
7,Yuen&Family的台北-花莲北线游,广州·台北·台中市·瑞芳·菁桐·平溪·猴硐·九份·花莲·花莲县,0,0
8,内容正在审核中,无锡·台北·花莲·台东·垦丁·高雄市,0,4
12,tw001,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,45
12,13,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,34
12,参考行程,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台南·台中市·上海,0,43
14,参考行程,台北·花莲县·高雄市·垦丁·嘉义·台中市·彰化县·新北市,0,53
12,参考行程,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,55
12,参考行程,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,31
8,参考行程,上海·台北·南投县·花莲县·垦丁·高雄市·桃园县·桃园市,0,38
15,参考行程,台北·花莲县·高雄市·垦丁国家公园·台南市·嘉义·台中市·彰化县·新北市,0,70
17,参考行程,台北·花莲县·高雄市·垦丁国家公园·台南市·嘉义·台中市·彰化县·新北市,0,25
7,不眠翁的台北行程,杭州·台北·九份·花莲,0,3
15,参考行程,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·嘉义·南投·淡水·平溪,0,2
6,暖暖向暖暖出发,台北·花莲·台东·基隆市·新北市·九份·平溪,0,6
9,台北-台中-花莲10日游,台北·花莲县·高雄市·台南市·嘉义·台中市·彰化县·新北市,0,83
9,参考行程,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,2
8,8日台北  花莲   垦丁  高雄,上海·台北·花莲县·垦丁·高雄市,0,11
6,liushufang的日本行程,北京·东京,1,6
6,ZHAO SIMON参考行程,杭州·台北·台中市,0,3
12,非公开计划投入风格与计划,台北·九份·花莲县·恒春·垦丁·垦丁国家公园·高雄市·台南市·台南·台中市·淡水,0,97
8,参考行程3,上海·台北·花莲县·垦丁·高雄市,0,7
8,东京5日（样例行程）,上海·东京,0,9
14,台中参考,台北·花莲县·高雄市·垦丁·嘉义·台中市·彰化县·新北市,0,176
9,11,台北·花莲县·高雄市·台南市·嘉义·台中市·彰化县·新北市,0,75
15,15日环台,台北·花莲县·高雄市·垦丁国家公园·台南市·嘉义·台中市·彰化县·新北市,0,63
7,fjbaboon的福州-厦门行程,无锡·福州·厦门·鼓浪屿,7,136
30,印度南北,烟台·昆明·加尔各答·迦耶·菩提伽耶·王舍城·瓦拉纳西·克久拉霍·阿格拉·阿姆利则·德里·斋普尔·杰伊瑟尔梅尔·焦特布尔·乌代布尔·孟买·北京,17,638
25,趙找找君的印度之旅,香港·昆明·加尔各答·西里古里·大吉岭·菩提伽耶·王舍城·瓦拉纳西·瑞诗凯诗·哈里德瓦尔·德里·新德里·杰伊瑟尔梅尔·乌代布尔·孟买,5,230
